unicode_id,sign_grapheme,transliteration
U+122DA,𒋚,shubur
U+122DB,𒋛,si
U+122DC,𒋜,si gunu
U+122DD,𒋝,sig
U+122DE,𒋞,sig₄
U+122DF,𒋟,sig₄ / sig₄ shu₂
U+122E0,𒋠,sik₂
U+122E1,𒋡,sila₃
U+122E2,𒋢,su
U+122E3,𒋣,su / su
U+122E4,𒋤,sud
U+122E5,𒋥,sud₂
U+122E6,𒋦,suhur
U+122E7,𒋧,sum
U+122E8,𒋨,sumash
U+122E9,𒋩,sur
U+122EA,𒋪,sur₉
U+122EB,𒋫,ta
U+122EC,𒋬,ta *
U+122ED,𒋭,ta × hi
U+122EE,𒋮,ta × mi
U+122EF,𒋯,ta gunu
U+122F0,𒋰,tab
U+122F1,𒋱,tab / tab ni / ni dish / dish
U+122F2,𒋲,tab squared
U+122F3,𒋳,tag
U+122F4,𒋴,tag × bi
U+122F5,𒋵,tag × gud
U+122F6,𒋶,tag × she
U+122F7,𒋷,tag × shu
U+122F8,𒋸,tag × tug₂
U+122F9,𒋹,tag × ud
U+122FA,𒋺,tak₄
U+122FB,𒋻,tar
U+122FC,𒋼,te
U+122FD,𒋽,te gunu
U+122FE,𒋾,ti
U+122FF,𒋿,ti tenu
U+12300,𒌀,til
U+12301,𒌁,tir
U+12302,𒌂,tir × tak₄
U+12303,𒌃,tir / tir
U+12304,𒌄,tir / tir gad / gad gar / gar
U+12305,𒌅,tu
U+12306,𒌆,tug₂
U+12307,𒌇,tuk
U+12308,𒌈,tum
U+12309,𒌉,tur
U+1230A,𒌊,tur / tur za / za
U+1230B,𒌋,u
U+1230C,𒌌,u gud
